Vendor,Library,No,ID,Formula,MW,Smile,Conc_mM,Solvent,Plate_ID,Plate_well
Enamine,UC-204426,43,Z988984026,C9H15N3,165.236,Cn1nccc1C2CCNCC2,100,DMSO,1233977-Y25-04,K05
Enamine,UC-204426,44,Z254451362,C13H16N2O,216.279,O=C(C1CCC1)N2CCCc3ncccc23,100,DMSO,1233977-Y25-04,L05
Enamine,UC-204426,45,Z1993626891,C11H15N3,189.257,Cn1nccc1C2=CC3CCC(C2)N3,100,DMSO,1233977-Y25-04,M05
Enamine,UC-204426,46,Z1255395717,C9H8ClN3,193.633,Cn1cnnc1c2ccccc2Cl,100,DMSO,1233977-Y25-04,N05
Enamine,UC-204426,47,Z2919705619,C9H14Cl2N2,148.205,Cl.Cl.C1CC(CN1)c2ccccn2,100,DMSO,1233977-Y25-04,O05
Enamine,UC-204426,48,Z606146202,C8H13N3O2S,215.273,O=S(=O)(N1CCCCC1)c2cn[nH]c2,100,DMSO,1233977-Y25-04,P05
Enamine,UC-204426,49,Z802646584,C11H12N2O,188.226,Cc1c[nH]c(=O)n1c2ccc(C)cc2,100,DMSO,1233977-Y25-04,A06
Enamine,UC-204426,50,Z1143441517,C10H11NO3S,225.264,OC(=O)CN1C(=O)CCCc2sccc12,100,DMSO,1233977-Y25-04,B06
Enamine,UC-204426,51,Z821176086,C11H15FN2O,210.248,COc1cc(F)ccc1N2CCNCC2,100,DMSO,1233977-Y25-04,C06
Enamine,UC-204426,52,Z285189090,C11H12ClFN2O,242.677,Fc1cccc(Cl)c1C(=O)N2CCNCC2,100,DMSO,1233977-Y25-04,D06
Enamine,UC-204426,53,Z285233940,C9H8FN3O,193.178,Nc1nnc(Cc2ccccc2F)o1,100,DMSO,1233977-Y25-04,E06
Enamine,UC-204426,54,Z1021411592,C10H11N3,173.214,CNc1cc([nH]n1)c2ccccc2,100,DMSO,1233977-Y25-04,F06
Enamine,UC-204426,55,Z275163834,C9H7ClN2O3,226.616,OC(=O)c1ccc(Cn2cc(Cl)cn2)o1,100,DMSO,1233977-Y25-04,G06
Enamine,UC-204426,56,Z1190328021,C8H13N3,151.209,C1CCC(NC1)c2cn[nH]c2,100,DMSO,1233977-Y25-04,H06
Enamine,UC-204426,57,Z234896383,C7H14N2O,142.199,CNC1CCCCNC1=O,100,DMSO,1233977-Y25-04,I06
Enamine,UC-204426,58,Z1836608938,C9H7FN2O2S,226.227,NS(=O)(=O)c1cnc2ccc(F)cc2c1,100,DMSO,1233977-Y25-04,J06
Enamine,UC-204426,59,Z425362292,C12H15NO,189.254,O=C1CCC(CCN1)c2ccccc2,100,DMSO,1233977-Y25-04,K06
Enamine,UC-204426,60,Z1695783895,C12H19Cl2FN2O,224.275,Cl.Cl.OCC(N1CCNCC1)c2cccc(F)c2,100,DMSO,1233977-Y25-04,L06
Enamine,UC-204426,61,Z285233910,C6H11N3O,141.171,CC(C)Cc1nnc(N)o1,100,DMSO,1233977-Y25-04,M06
Enamine,UC-204426,62,Z355423270,C8H11ClFNO,155.17,Cl.COc1ccc(CN)cc1F,100,DMSO,1233977-Y25-04,N06
Enamine,UC-204426,63,Z33546677,C8H8ClNO,169.608,NC(=O)Cc1ccc(Cl)cc1,100,DMSO,1233977-Y25-04,O06
Enamine,UC-204426,64,Z89336667,C9H10N2O3S,226.252,NS(=O)(=O)c1ccc2NC(=O)CCc2c1,100,DMSO,1233977-Y25-04,P06
Enamine,UC-204426,65,Z52214433,C9H11NO,149.19,Cc1ccccc1CC(=O)N,100,DMSO,1233977-Y25-04,A07
Enamine,UC-204426,66,Z1198163863,C7H5N3O2,163.134,O=c1nc2ccccn2c(=O)[nH]1,100,DMSO,1233977-Y25-04,B07
Enamine,UC-204426,67,Z1262557037,C9H12N2O2,180.204,CC1CCn2ncc(C(=O)O)c2C1,100,DMSO,1233977-Y25-04,C07
