Vendor,Library,No,ID,Formula,MW,Smile,Conc_mM,Solvent,Plate_ID,Plate_well
PrestWick,DrugFragCoreSet,110,Prestw-Frag-2569,C14H23N3O,249.35891,COc1ccccc1N2CCN(CCCN)CC2,100,DMSO,PwDF-CoreS-01,D12
PrestWick,DrugFragCoreSet,112,Prestw-Frag-2724,C12H17NO3,223.27419,CCCOc1ccc(cc1N)C(=O)OCC,100,DMSO,PwDF-CoreS-01,F12
PrestWick,DrugFragCoreSet,113,Prestw-Frag-2774,C18H27NO2,289.42139,CCN(CC)CCOC(=O)C1(CCCC1)c2ccccc2,100,DMSO,PwDF-CoreS-01,G12
PrestWick,DrugFragCoreSet,114,Prestw-Frag-2806,C13H12N2O2,228.25279,Cc1ccccc1Nc2ncccc2C(=O)O,100,DMSO,PwDF-CoreS-01,H12
PrestWick,DrugFragCoreSet,117,Prestw-Frag-3120,C13H20ClN3O,269.77685,CCN(CC)CCNC(=O)c1ccc(N)c(Cl)c1,100,DMSO,PwDF-CoreS-01,K12
PrestWick,DrugFragCoreSet,120,Prestw-Frag-3336,C9H8N2O,160.17691,NC(=O)c1ccc2[nH]ccc2c1,100,DMSO,PwDF-CoreS-01,N12
PrestWick,DrugFragCoreSet,125,Prestw-Frag-3426,C14H19FN2O,250.31873,Fc1ccc(cc1)C(=O)CCCN2CCNCC2,100,DMSO,PwDF-CoreS-01,G13
PrestWick,DrugFragCoreSet,127,Prestw-Frag-3454,C10H15NO2,181.23655,COc1ccc(CCN)cc1OC,100,DMSO,PwDF-CoreS-01,I13
PrestWick,DrugFragCoreSet,128,Prestw-Frag-3455,C13H12O,184.23999,Oc1ccc(Cc2ccccc2)cc1,100,DMSO,PwDF-CoreS-01,J13
PrestWick,DrugFragCoreSet,130,Prestw-Frag-3460,C5H10N2O,114.14825,CN1CCNCC1=O,100,DMSO,PwDF-CoreS-01,L13
PrestWick,DrugFragCoreSet,131,Prestw-Frag-3461,C11H11NO2,189.21582,Cn1cc(CC(=O)O)c2ccccc12,100,DMSO,PwDF-CoreS-01,M13
PrestWick,DrugFragCoreSet,133,Prestw-Frag-3693,C12H16FNO,209.26582,CN(C)CCCC(=O)c1ccc(F)cc1,100,DMSO,PwDF-CoreS-01,C14
PrestWick,DrugFragCoreSet,134,Prestw-Frag-3703,C8H6O3,150.13522,Oc1ccc2C(=O)COc2c1,100,DMSO,PwDF-CoreS-01,D14
PrestWick,DrugFragCoreSet,135,Prestw-Frag-3704,C10H12BrNO3,274.11604,CNC(=O)c1c(OC)ccc(Br)c1OC,100,DMSO,PwDF-CoreS-01,E14
PrestWick,DrugFragCoreSet,136,Prestw-Frag-0674,C18H29NO2,291.43733,CC(C)(C)NCC(O)COc1ccccc1C2CCCC2,100,DMSO,PwDF-CoreS-01,F14
PrestWick,DrugFragCoreSet,137,Prestw-Frag-1000,C9H6O2,146.14697,O=C1Oc2ccccc2C=C1,100,DMSO,PwDF-CoreS-01,G14
PrestWick,DrugFragCoreSet,138,Prestw-Frag-1009,C2H3N3S,101.13031,Nc1nncs1,100,DMSO,PwDF-CoreS-01,H14
PrestWick,DrugFragCoreSet,139,Prestw-Frag-1028,C10H10N2O,174.204,CC1=CC(=O)N(N1)c2ccccc2,100,DMSO,PwDF-CoreS-01,I14
PrestWick,DrugFragCoreSet,142,Prestw-Frag-1045,C7H6O3,138.12407,OC(=O)c1ccccc1O,100,DMSO,PwDF-CoreS-01,L14
PrestWick,DrugFragCoreSet,143,Prestw-Frag-1051,C14H22N2O,234.34424,COc1ccc(CCN2CCC(N)CC2)cc1,100,DMSO,PwDF-CoreS-01,M14
PrestWick,DrugFragCoreSet,144,Prestw-Frag-1063,C11H15NO2,193.2477,COc1cc2[C@H](C)NCCc2cc1O,100,DMSO,PwDF-CoreS-01,N14
PrestWick,DrugFragCoreSet,145,Prestw-Frag-1064,C9H13NO2,167.20946,COc1ccc(CCN)cc1O,100,DMSO,PwDF-CoreS-01,C15
PrestWick,DrugFragCoreSet,146,Prestw-Frag-1075,C16H20N2O2,272.35,CCC1=C(C)CN(C(=O)NCCc2ccccc2)C1=O,100,DMSO,PwDF-CoreS-01,D15
PrestWick,DrugFragCoreSet,149,Prestw-Frag-1099,C8H10N2O,150.1817,N[C@@H](C(=O)N)c1ccccc1,100,DMSO,PwDF-CoreS-01,G15
PrestWick,DrugFragCoreSet,150,Prestw-Frag-1101,C14H12ClN,229.71144,Clc1ccc2CCc3ccccc3Nc2c1,100,DMSO,PwDF-CoreS-01,H15
PrestWick,DrugFragCoreSet,152,Prestw-Frag-1110,C9H13N3,163.22406,C1CN(CCN1)c2ccccn2,100,DMSO,PwDF-CoreS-01,J15
PrestWick,DrugFragCoreSet,153,Prestw-Frag-1111,C7H9NO2S,171.21928,COC(=O)c1scc(C)c1N,100,DMSO,PwDF-CoreS-01,K15
PrestWick,DrugFragCoreSet,158,Prestw-Frag-1130,C10H8O3,176.17346,CC1=C(O)c2ccccc2OC1=O,100,DMSO,PwDF-CoreS-01,D16
PrestWick,DrugFragCoreSet,159,Prestw-Frag-1131,C9H6O3,162.14637,OC1=CC(=O)Oc2ccccc12,100,DMSO,PwDF-CoreS-01,E16
PrestWick,DrugFragCoreSet,160,Prestw-Frag-1133,C10H9NO,159.18933,COc1ccc2ccncc2c1,100,DMSO,PwDF-CoreS-01,F16
PrestWick,DrugFragCoreSet,161,Prestw-Frag-1138,C6H6N4O2,166.14032,CN1C(=O)Nc2nc[nH]c2C1=O,100,DMSO,PwDF-CoreS-01,G16
PrestWick,DrugFragCoreSet,162,Prestw-Frag-1141,C11H17N,163.26484,CNC(C)(C)Cc1ccccc1,100,DMSO,PwDF-CoreS-01,H16
PrestWick,DrugFragCoreSet,163,Prestw-Frag-1154,C5H7N3O,125.13104,COc1cc(N)ncn1,100,DMSO,PwDF-CoreS-01,I16
PrestWick,DrugFragCoreSet,165,Prestw-Frag-1161,C3H5N3S,115.1574,Cc1nnc(N)s1,100,DMSO,PwDF-CoreS-01,K16
PrestWick,DrugFragCoreSet,168,Prestw-Frag-1167,C5H7N3O,125.13104,COc1ccc(N)nn1,100,DMSO,PwDF-CoreS-01,N16
PrestWick,DrugFragCoreSet,169,Prestw-Frag-1182,C11H10Cl2N2O,257.12115,OC(Cn1ccnc1)c2ccc(Cl)cc2Cl,100,DMSO,PwDF-CoreS-01,C17
PrestWick,DrugFragCoreSet,171,Prestw-Frag-1184,C4H4ClN3,129.54958,Nc1ccc(Cl)nn1,100,DMSO,PwDF-CoreS-01,E17
PrestWick,DrugFragCoreSet,173,Prestw-Frag-1188,C4H5N3O2,127.10335,Cc1ncc([nH]1)[N+](=O)[O-],100,DMSO,PwDF-CoreS-01,G17
