Vendor,Library,No,ID,Formula,MW,Smile,Conc_mM,Solvent,Plate_ID,Plate_well
Enamine,UC-204426,1,Z1270255743,C7H13NO2,143.184,COCC1(C)CNC(=O)C1,100,DMSO,1233977-Y25-01,A03
Enamine,UC-204426,2,Z1255450314,C5H5F3N2O,166.101,Cn1nc(cc1O)C(F)(F)F,100,DMSO,1233977-Y25-01,B03
Enamine,UC-204426,3,Z1889965979,C11H13NO3,207.226,Cn1cc(C(=O)O)c2CCCCc2c1=O,100,DMSO,1233977-Y25-01,C03
Enamine,UC-204426,4,Z838909122,C6H7NO3,141.125,CCc1ocnc1C(=O)O,100,DMSO,1233977-Y25-01,D03
Enamine,UC-204426,5,Z1575095302,C7H13NO2,143.184,C1CC2(CO1)COCCN2,100,DMSO,1233977-Y25-01,E03
Enamine,UC-204426,6,Z274787916,C10H12O2,164.201,CC1Cc2cc(CO)ccc2O1,100,DMSO,1233977-Y25-01,F03
Enamine,UC-204426,7,Z2238753053,C11H15ClN4,202.256,Cl.C1CNCC(C1)c2nnc3ccccn23,100,DMSO,1233977-Y25-01,G03
Enamine,UC-204426,8,Z275169862,C6H7ClN2O2,174.585,Cc1c(Cl)c(nn1C)C(=O)O,100,DMSO,1233977-Y25-01,H03
Enamine,UC-204426,9,Z1123700045,C12H17NO2,207.269,OCC1CN(Cc2ccccc2)CCO1,100,DMSO,1233977-Y25-01,I03
Enamine,UC-204426,10,Z55928890,C9H15N3,165.236,Nc1ccnn1C2CCCCC2,100,DMSO,1233977-Y25-01,J03
Enamine,UC-204426,11,Z939904642,C4H3F3N2O,152.075,Nc1nc(co1)C(F)(F)F,100,DMSO,1233977-Y25-01,K03
Enamine,UC-204426,12,Z275169746,C6H8N2O2,140.14,CCn1ccc(n1)C(=O)O,100,DMSO,1233977-Y25-01,L03
Enamine,UC-204426,13,Z352783086,C11H12O3,192.211,OC(=O)CC1CCOc2ccccc12,100,DMSO,1233977-Y25-01,M03
Enamine,UC-204426,14,Z271009194,C8H18N2,142.242,CC(N)CN1CCCCC1,100,DMSO,1233977-Y25-01,N03
Enamine,UC-204426,15,Z425389724,C11H13Cl2FN2O,242.677,Cl.Fc1ccc(Cl)cc1C(=O)N2CCNCC2,100,DMSO,1233977-Y25-01,O03
Enamine,UC-204426,16,Z1341678257,C8H10FNO,155.17,CCC(O)c1ccc(F)cn1,100,DMSO,1233977-Y25-01,P03
Enamine,UC-204426,17,Z57842305,C8H9N3S,179.242,Cc1cc(C)c2c(N)nsc2n1,100,DMSO,1233977-Y25-01,A04
Enamine,UC-204426,18,Z991477738,C9H8FN3O,193.178,Nc1nc(Cc2ccc(F)cc2)no1,100,DMSO,1233977-Y25-01,B04
Enamine,UC-204426,19,Z959355092,C11H10N2O2,202.209,Cc1cc(ccc1C(=O)O)n2ccnc2,100,DMSO,1233977-Y25-01,C04
Enamine,UC-204426,20,Z985590216,C8H12N2OS,184.259,Cc1csc(n1)C2CNCCO2,100,DMSO,1233977-Y25-01,D04
Enamine,UC-204426,21,Z1905777008,C7H12N4,152.197,Cn1nnc2CC(N)CCc21,100,DMSO,1233977-Y25-01,E04
Enamine,UC-204426,22,Z102768020,C11H13N3,187.241,CNCc1cnn(c1)c2ccccc2,100,DMSO,1233977-Y25-01,F04
Enamine,UC-204426,23,Z1269157906,C8H6F3NO2,205.134,OC(=O)Cc1cnccc1C(F)(F)F,100,DMSO,1233977-Y25-01,G04
Enamine,UC-204426,24,Z415638506,C9H8FN3O,193.178,OCc1cc(F)ccc1n2cncn2,100,DMSO,1233977-Y25-01,H04
Enamine,UC-204426,25,Z362636306,C3H3F2N3S,151.138,Nc1nnc(s1)C(F)F,100,DMSO,1233977-Y25-01,I04
Enamine,UC-204426,26,Z1262649978,C9H11N3O,177.203,COc1cccc2n(C)c(N)nc12,100,DMSO,1233977-Y25-01,J04
Enamine,UC-204426,27,Z228586826,C12H16N2O2,220.268,COc1ccccc1C(=O)N2CCNCC2,100,DMSO,1233977-Y25-01,K04
Enamine,UC-204426,28,Z2256067079,C9H11N3O,177.203,NC(=O)c1ccc2CCCNc2n1,100,DMSO,1233977-Y25-01,L04
Enamine,UC-204426,29,Z137630580,C11H12FN3,205.231,Cn1cc(CNc2ccc(F)cc2)cn1,100,DMSO,1233977-Y25-01,M04
Enamine,UC-204426,30,Z363991168,C10H14FNO2,199.222,COc1cc(F)c(cc1OC)C(C)N,100,DMSO,1233977-Y25-01,N04
Enamine,UC-204426,31,Z319448156,C12H17N3O,219.283,Cc1cccc(NC(=O)C2CCNCC2)n1,100,DMSO,1233977-Y25-01,O04
Enamine,UC-204426,32,Z1503361923,C9H6F3N3,213.159,FC(F)(F)c1c[nH]c(n1)c2cccnc2,100,DMSO,1233977-Y25-01,P04
Enamine,UC-204426,33,Z1509634110,C11H8FNO2,205.185,OC(=O)C1(CC1)c2cc(F)cc(C#N)c2,100,DMSO,1233977-Y25-01,A05
Enamine,UC-204426,34,Z997657728,C7H8N4S,180.23,Cn1nc(nc1N)c2cccs2,100,DMSO,1233977-Y25-01,B05
Enamine,UC-204426,35,Z1198151464,C10H11NO,161.2,CC1(C)C(=O)Nc2ccccc21,100,DMSO,1233977-Y25-01,C05
Enamine,UC-204426,36,Z1013742704,C7H8N2O,136.151,O=c1ccc(n[nH]1)C2CC2,100,DMSO,1233977-Y25-01,D05
Enamine,UC-204426,37,Z1255400620,C8H13NO2,155.194,O=C1CC2(CN1)CCOCC2,100,DMSO,1233977-Y25-01,E05
Enamine,UC-204426,38,Z1259196813,C9H15N3,165.236,CC(C)n1nc2CCCc2c1N,100,DMSO,1233977-Y25-01,F05
Enamine,UC-204426,39,Z274463938,C10H12N2O3S,240.279,NS(=O)(=O)c1ccc2NC(=O)CCCc2c1,100,DMSO,1233977-Y25-01,G05
Enamine,UC-204426,40,Z57980672,C6H9NO3,143.141,OC(=O)CN1CCCC1=O,100,DMSO,1233977-Y25-01,H05
Enamine,UC-204426,41,Z1123802500,C6H4F2O3S,194.156,OC(=O)c1sccc1OC(F)F,100,DMSO,1233977-Y25-01,I05
Enamine,UC-204426,42,Z802830878,C8H13N3O,167.208,Nc1ccn(CC2CCOC2)n1,100,DMSO,1233977-Y25-01,J05
Enamine,UC-204426,43,Z1763544280,C8H11N3,149.193,Nc1nccc2CCNCc12,100,DMSO,1233977-Y25-01,K05
Enamine,UC-204426,44,Z1198165841,C8H8N2O,148.162,O=C1CCc2cccnc2N1,100,DMSO,1233977-Y25-01,L05
Enamine,UC-204426,45,Z1416181703,C9H13N3O,179.219,Cc1n[nH]c(C)c1C2CCC(=O)N2,100,DMSO,1233977-Y25-01,M05
Enamine,UC-204426,46,Z255150112,C9H13N3,163.22,Cc1ncc2CC(N)CCc2n1,100,DMSO,1233977-Y25-01,N05
Enamine,UC-204426,47,Z220335562,C12H15N3,201.268,C1CNCC(C1)c2nc3ccccc3[nH]2,100,DMSO,1233977-Y25-01,O05
Enamine,UC-204426,48,Z295882372,C11H22N2,182.306,NC1CCN(CC1)C2CCCCC2,100,DMSO,1233977-Y25-01,P05
Enamine,UC-204426,49,Z230844978,C12H17N3O,219.283,CN1CCN(C(C1)c2ccccc2)C(=O)N,100,DMSO,1233977-Y25-01,A06
Enamine,UC-204426,50,Z2309887442,C13H18N2O,218.295,C(N1CCO[C@@H]2CNC[C@@H]21)c3ccccc3,100,DMSO,1233977-Y25-01,B06
Enamine,UC-204426,51,Z285233926,C9H8FN3O,193.178,Nc1nnc(Cc2ccc(F)cc2)o1,100,DMSO,1233977-Y25-01,C06
Enamine,UC-204426,52,Z1201622914,C8H6ClFO2,188.583,OC(=O)Cc1ccc(Cl)c(F)c1,100,DMSO,1233977-Y25-01,D06
Enamine,UC-204426,53,Z199409054,C11H15Cl2F2N3,225.238,Cl.Cl.CC(CN)c1nc2ccccc2n1C(F)F,100,DMSO,1233977-Y25-01,E06
Enamine,UC-204426,54,Z2467219756,C8H15NO,141.211,CC[C@@H]1CC[C@H](C)NC1=O,100,DMSO,1233977-Y25-01,F06
Enamine,UC-204426,55,Z802665924,C9H11ClFN,151.181,Cl.NC1CCc2c1cccc2F,100,DMSO,1233977-Y25-01,G06
Enamine,UC-204426,56,Z1065667378,C9H20N2O,172.268,CC1CN(CCCN)CCCO1,100,DMSO,1233977-Y25-01,H06
