Vendor,Library,No,ID,Formula,MW,Smile,Conc_mM,Solvent,Plate_ID,Plate_well
PrestWick,DrugFragCoreSet,79,Prestw-Frag-1910,C10H14N2O,178.23588,CCCOc1ccccc1C(=N)N,100,DMSO,PwDF-CoreS-01,I09
PrestWick,DrugFragCoreSet,80,Prestw-Frag-1925,C15H15F2NO,263.2897,NCCOC(c1ccc(F)cc1)c2ccc(F)cc2,100,DMSO,PwDF-CoreS-01,J09
PrestWick,DrugFragCoreSet,81,Prestw-Frag-1929,C12H19NO,193.29133,CC(C)(C)NCC(O)c1ccccc1,100,DMSO,PwDF-CoreS-01,K09
PrestWick,DrugFragCoreSet,82,Prestw-Frag-1944,C13H20N2O,220.31715,OCCCN1CCN(CC1)c2ccccc2,100,DMSO,PwDF-CoreS-01,L09
PrestWick,DrugFragCoreSet,83,Prestw-Frag-1945,C12H18N2O,206.29006,OCCN1CCN(CC1)c2ccccc2,100,DMSO,PwDF-CoreS-01,M09
PrestWick,DrugFragCoreSet,84,Prestw-Frag-1946,C11H16N2,176.26357,CN1CCN(CC1)c2ccccc2,100,DMSO,PwDF-CoreS-01,N09
PrestWick,DrugFragCoreSet,89,Prestw-Frag-2123,C7H7NO4S,201.20214,NS(=O)(=O)c1ccc(cc1)C(=O)O,100,DMSO,PwDF-CoreS-01,G10
PrestWick,DrugFragCoreSet,90,Prestw-Frag-2168,C11H17NO,179.26424,CC(C)NCC(O)c1ccccc1,100,DMSO,PwDF-CoreS-01,H10
PrestWick,DrugFragCoreSet,92,Prestw-Frag-2212,C12H18N2O,206.29006,COc1ccc(CN2CCNCC2)cc1,100,DMSO,PwDF-CoreS-01,J10
PrestWick,DrugFragCoreSet,97,Prestw-Frag-2256,C7H6N2O,134.13867,Nc1oc2ccccc2n1,100,DMSO,PwDF-CoreS-01,C11
PrestWick,DrugFragCoreSet,99,Prestw-Frag-2303,C6H7NO,109.12879,OCc1ccncc1,100,DMSO,PwDF-CoreS-01,E11
PrestWick,DrugFragCoreSet,100,Prestw-Frag-2348,C9H12N2S,180.27339,NC(=N)CSCc1ccccc1,100,DMSO,PwDF-CoreS-01,F11
PrestWick,DrugFragCoreSet,101,Prestw-Frag-2356,C12H11ClN2,218.68787,Clc1ccc(CNc2ccccn2)cc1,100,DMSO,PwDF-CoreS-01,G11
